group_id,photo_id,path,angle_label,is_representative
1,90__none__210182,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\210182.jpeg,90,True
1,90__none__333231,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\333231.jpeg,90,False
2,270__none__383812,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\383812.jpeg,270,False
2,270__none__362786,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\362786.jpeg,270,True
3,0__none__483195,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\483195.jpeg,0,False
3,0__none__151766,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\151766.jpeg,0,False
3,0__none__482812,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\482812.jpeg,0,False
3,0__none__166831,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\166831.jpeg,0,False
3,0__none__184558,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\184558.jpeg,0,False
3,0__none__151112,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\151112.jpeg,0,False
3,0__none__476941,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\476941.jpeg,0,False
3,0__none__166823,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\166823.jpeg,0,False
3,0__none__157699,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\157699.jpeg,0,False
3,0__none__483054,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\483054.jpeg,0,False
3,0__none__158102,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\158102.jpeg,0,False
3,0__none__476964,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\476964.jpeg,0,False
3,0__none__476802,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\476802.jpeg,0,False
3,0__none__482649,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\482649.jpeg,0,False
3,0__none__151097,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\151097.jpeg,0,True
3,0__none__180801,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\180801.jpeg,0,False
3,0__none__482670,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\482670.jpeg,0,False
3,0__none__165305,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\165305.jpeg,0,False
3,0__none__486954,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\486954.jpeg,0,False
3,0__none__151165,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\151165.jpeg,0,False
3,0__none__482968,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\482968.jpeg,0,False
3,0__none__151157,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\151157.jpeg,0,False
3,0__none__482982,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\482982.jpeg,0,False
3,0__none__483082,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\483082.jpeg,0,False
3,0__none__483095,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\483095.jpeg,0,False
3,0__none__498691,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\498691.jpeg,0,False
3,0__none__188293,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\188293.jpeg,0,False
